Number_x,Layer,Ml_Average_Probability,Motif_ID,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
81,motif_3,0.5941054336393191,81_motif_3,0.024096385542168676,24,4,0.09570957095709572,0.7139113901385835,NC_001416
82,motif_3,0.6032024681667538,82_motif_3,0.027472527472527472,18,4,0.09570957095709572,0.7263845665963771,NC_001416
83,motif_1,0.33940963367192567,83_motif_1,0.046898638426626324,48,1,0.3201320132013201,0.7064402852998721,NC_001416
84,motif_1,0.3382770139634801,84_motif_1,0.04661654135338346,48,1,0.3201320132013201,0.7050255685181837,NC_001416
85,motif_1,0.33771407419324084,85_motif_1,0.04504504504504504,48,1,0.3201320132013201,0.702891132439606,NC_001416
86,motif_1,0.33837116576929355,86_motif_1,0.04405286343612335,48,1,0.3201320132013201,0.702556042406737,NC_001416
87,motif_1,0.33767958059660647,87_motif_1,0.04310344827586207,48,1,0.3201320132013201,0.7009150420737886,NC_001416
88,motif_1,0.33682065143130424,88_motif_1,0.043041606886657105,48,1,0.3201320132013201,0.6999942715192815,NC_001416
89,motif_1,0.345628588730382,89_motif_1,0.040787623066104076,48,1,0.3201320132013201,0.7065482249978061,NC_001416
90,motif_1,0.3175807136224964,90_motif_1,0.04317548746518106,48,1,0.3201320132013201,0.6808882142889976,NC_001416
91,motif_1,0.3458576854775059,91_motif_1,0.04005524861878453,48,1,0.3201320132013201,0.7060449472976105,NC_001416
92,motif_1,0.3180379884421893,92_motif_1,0.04781420765027322,48,1,0.3201320132013201,0.6859842092937827,NC_001416
93,motif_1,0.34687940271413076,93_motif_1,0.040446304044630406,48,1,0.3201320132013201,0.7074577199600813,NC_001416
94,motif_3,0.6013486633249789,94_motif_3,0.021052631578947368,18,4,0.09570957095709572,0.718110865861022,NC_001416
95,motif_1,0.3453664616840113,95_motif_1,0.04105960264900662,48,1,0.3201320132013201,0.7065580775343381,NC_001416
96,motif_1,0.34658508174810393,96_motif_1,0.04308093994778068,48,1,0.3201320132013201,0.7097980348972047,NC_001416
97,motif_1,0.34649433621933623,97_motif_1,0.04415584415584416,48,1,0.3201320132013201,0.7107821935765005,NC_001416
98,motif_1,0.346278760903761,98_motif_1,0.043758043758043756,48,1,0.3201320132013201,0.7101688178631249,NC_001416
99,motif_1,0.34466375832053253,99_motif_1,0.04387096774193548,48,1,0.3201320132013201,0.7086667392637882,NC_001416
100,motif_1,0.34489746359536716,100_motif_1,0.04755944931163955,48,1,0.3201320132013201,0.7125889261083268,NC_001416
101,motif_1,0.3455686345464572,101_motif_1,0.04962779156327544,48,1,0.3201320132013201,0.7153284393110528,NC_001416
